wavelength,flux
1150.0,0.0043475917
1155.0,0.0048899716
1160.0,0.0040113847
1165.0,0.0003071203
1170.0,0.0
1175.0,0.0
1180.0,0.0010719269
1185.0,0.0007151883
1190.0,0.0
1195.0,0.0
1200.0,0.0008366676
1205.0,0.0029317585
1210.0,0.012469598
1215.0,0.021945843
1220.0,0.0135081615
1225.0,0.0023406162
1230.0,0.00030455386
1235.0,0.00032080812
1240.0,0.00028060016
1245.0,0.00018478547
1250.0,0.00014286656
1255.0,0.00014885498
1260.0,0.00014372203
1265.0,0.0
1270.0,0.0
1275.0,7.015004e-05
1280.0,0.00026006845
1285.0,0.00023868124
1290.0,4.7051857e-05
1295.0,4.619637e-05
1300.0,0.00014286656
1305.0,0.0
1310.0,0.00010779153
1315.0,0.00022413793
1320.0,0.00017024217
1325.0,0.00010608055
1330.0,0.00016425377
1335.0,0.0001394446
1340.0,4.9618324e-05
1345.0,6.8439067e-06
1350.0,6.6728084e-05
1355.0,0.0001317452
1360.0,0.00015313241
1365.0,0.0001976178
1370.0,0.00011549092
1375.0,0.00018136353
1380.0,0.00023697029
1385.0,0.00021045013
1390.0,5.8173206e-05
1395.0,0.00017451962
1400.0,0.0002489471
1405.0,0.0003370624
1410.0,0.00028060016
1415.0,7.186102e-05
1420.0,0.0
1425.0,0.00010950251
1430.0,0.00023611478
1435.0,0.00017109766
1440.0,0.0002934325
1445.0,0.0006082522
1450.0,0.0004833509
1455.0,0.00023525929
1460.0,0.00010950251
1465.0,0.00015313241
1470.0,0.00028145566
1475.0,0.00032594104
1480.0,0.00032594104
1485.0,0.00023525929
1490.0,0.00025065808
1495.0,0.00028145566
1500.0,0.0002780337
1505.0,0.0002660569
1510.0,0.0002634904
1515.0,0.00026177944
1520.0,0.0002344038
1525.0,0.00024638066
1530.0,0.0003002764
1535.0,0.0003652935
1540.0,0.0003969466
1545.0,0.00059456436
1550.0,0.00057745463
1555.0,0.00033535142
1560.0,0.00042774418
1565.0,0.00044827585
1570.0,0.00044570942
1575.0,0.00052783627
1580.0,0.00040207952
1585.0,0.0003960911
1590.0,0.0004183338
1595.0,0.00029428798
1600.0,0.00023953673
1605.0,0.00037128193
1610.0,0.00035417217
1615.0,0.00019676232
1620.0,0.00015997632
1625.0,0.00024809162
1630.0,0.0003892472
1635.0,0.00044998684
1640.0,0.0002729008
1645.0,0.00036272706
1650.0,0.00045683075
1655.0,0.00039865755
1660.0,0.0005791656
1665.0,0.0006039748
1670.0,0.00050131616
1675.0,0.0003952356
1680.0,0.00056804426
1685.0,0.0005577784
1690.0,0.00053296925
1695.0,0.0006082522
1700.0,0.0007117663
1705.0,0.000586865
1710.0,0.0004867729
1715.0,0.00053639116
1720.0,0.00063904974
1725.0,0.00070834433
1730.0,0.00069722295
1735.0,0.00081271393
1740.0,0.0008512109
1745.0,0.0010103318
1750.0,0.0010146091
1755.0,0.00095814693
1760.0,0.0010436957
1765.0,0.0012079496
1770.0,0.0012746777
1775.0,0.0014928272
1780.0,0.0013183075
1785.0,0.0011728745
1790.0,0.00082725723
1795.0,0.00096413534
1800.0,0.0012550014
1805.0,0.0013884576
1810.0,0.0016143065
1815.0,0.0017862597
1820.0,0.0019239931
1825.0,0.001830745
1830.0,0.0018230455
1835.0,0.0018752303
1840.0,0.0018418664
1845.0,0.0016989998
1850.0,0.0016904449
1855.0,0.0018435775
1860.0,0.0020959463
1865.0,0.0022388129
1870.0,0.0023654252
1875.0,0.0024466966
1880.0,0.0025348119
1885.0,0.0026939327
1890.0,0.0028179784
1895.0,0.002834233
1900.0,0.0025604765
1905.0,0.0026212162
1910.0,0.0028915505
1915.0,0.0029967756
1920.0,0.0032157807
1925.0,0.0030866018
1930.0,0.0028693078
1935.0,0.002750395
1940.0,0.0031020006
1945.0,0.0039061597
1950.0,0.0042877076
1955.0,0.007695118
1960.0,0.008601935
1965.0,0.0042013032
1970.0,0.00025236906
1975.0,0.0
1980.0,0.0027726376
1985.0,0.0128870765
1990.0,0.0133481845
1995.0,0.007748158
2000.0,0.0066214795
2005.0,0.0
2010.0,0.0
2015.0,0.0005988418
2020.0,0.0
2025.0,0.0
2030.0,0.0
2035.0,0.0
2040.0,0.0
2045.0,0.00029172152
2050.0,0.004540932
2055.0,0.005619703
