wavelength,flux
0.50529999,0.38334007858153496
0.53329998,0.5850668546565194
0.56129998,0.7558099596813496
0.58929998,0.8124857203496795
0.61390001,0.8522138979508235
0.63770002,0.9153603381757104
0.66570002,1.0
0.704,0.9976676687778389
0.73199993,0.940250052107952
0.76550001,0.838415913776973
0.82199997,0.5857392333885924
0.949,0.17305998441268217
1.0335,0.04470657946382915
1.1035,0.0
1.1385,0.040000040309132893
1.1735001,0.09559131734557419
1.2085,0.09090252540637059
1.2435,0.12474534565277472
